Variable,MAE,RMSE,MAPE(%),sMAPE(%),R2
10LBA15CT101K,0.65042794,1.1247134,0.12701591476798058,0.1269976026378572,0.9865383355787158
10LBA15CT102K,0.6099101,1.0863138,0.11937611270695925,0.11934859212487936,0.9872133662233866
10LBA15CT103K,0.6847035,1.1545901,0.13380027376115322,0.1337735797278583,0.9858439100832437
10LBA15CT104K,0.619732,1.0793213,0.12123013148084283,0.12122991029173136,0.9876690310517111
10LBA10CT101K,0.53793573,1.0026597,0.10586276184767485,0.1058648806065321,0.988917562769776
10LBA10CT106K,0.5025037,0.951758,0.0990352826192975,0.09903102181851864,0.9901898870358253
10LBA10CT102K,0.4923952,0.9355136,0.09954958222806454,0.09953029220923781,0.9911724808531539
10LBA10CT103K,0.52299905,0.97617,0.10295560350641608,0.10295688407495618,0.9898490547128883
10LBA10CT104K,0.0002907171,0.0003699871,3.416182039472915e-05,3.416182039472915e-05,0.0
