Variable,MAE,RMSE,MAPE(%),sMAPE(%),R2
10LBA10CP109,0.04801032,0.067909956,0.61417156,0.6143932,0.9922168850898743
10LBA10CP1020,0.047219995,0.06577984,0.597902,0.5983594,0.9928187131881714
10HNA10CT101K,0.25245118,0.6528651,0.07329953,0.07340499,0.9875093102455139
10HNA05CT101K,0.41395602,1.0872178,0.09229156,0.09234453,0.9842736721038818
10HNA05CT102K,0.5737889,1.3045646,0.12684749,0.1269659,0.9830125570297241
10HNA00CT101K,0.86774033,1.6826572,0.18618618,0.18611103,0.9731591939926147
10HNA00CT102K,1.1208116,2.1319914,0.2435851,0.24367008,0.9728342890739441
